,lon,lat,age,plate_id,recon_lon,recon_lat,distance,sub_idx,trench_lon,trench_lat,conv_rate,conv_angle,trench_abs_rate,trench_abs_angle,arc_len,trench_norm,subducting_pid,trench_pid,dist_nearest_edge,dist_from_start,conv_ortho,conv_paral,trench_abs_ortho,trench_abs_paral,subducting_abs_rate,subducting_abs_angle,subducting_abs_ortho,subducting_abs_paral,seafloor_age,subduction_volume_km3y,carbonate_sediment_thickness,total_sediment_thick,ocean_crust_carb_percent,label
70,-67.6,-24.0,2.0,202.0,-67.243,-23.895,0.058,886.0,-70.87,-23.54,8.99,-17.97,1.92,156.65,0.2,95.77,911.0,201.0,28.56,28.56,8.55,-2.77,-1.77,0.76,-7.07,-16.45,6.78,-2.0,52.44,0.14,32.96,123.03,2.19,SA_Volcanics
71,-70.285,-41.534,3.0,283.0,-69.757,-41.37600000000001,0.064,751.0,-74.61,-41.19,8.86,-14.39,1.61,154.65,0.16,94.18,911.0,201.0,10.44,10.44,8.58,-2.2,-1.45,0.69,-7.29,-11.93,7.13,-1.51,18.35,0.07,90.53,71.41,1.56,SA_Volcanics
72,-70.13,-45.63,3.0,283.0,-69.60600000000001,-45.472,0.066,730.0,-75.01,-45.68,8.71,-13.09,1.5,154.4,0.16,92.9,911.0,201.0,5.88,5.88,8.48,-1.97,-1.36,0.65,-7.24,-10.45,7.12,-1.31,2.71,0.03,6.23,67.08,0.73,SA_Volcanics
73,-70.1,-41.0,3.0,283.0,-69.572,-40.842,0.065,761.0,-74.47,-40.35,8.88,-17.33,1.62,152.0,0.15,97.07,911.0,201.0,11.29,11.29,8.48,-2.65,-1.43,0.76,-7.3,-14.91,7.05,-1.88,20.51,0.07,91.45,74.85,1.61,SA_Volcanics
74,-70.0,-41.4,3.0,283.0,-69.473,-41.242,0.067,756.0,-74.52,-40.67,8.88,-18.21,1.62,151.01,0.18,97.97,911.0,201.0,10.97,10.97,8.43,-2.77,-1.41,0.78,-7.29,-15.77,7.02,-1.98,20.51,0.08,90.53,71.41,1.56,SA_Volcanics
75,-70.0,-42.0,3.0,283.0,-69.473,-41.842,0.068,749.0,-74.65,-41.52,8.85,-17.05,1.6,151.87,0.17,96.85,911.0,201.0,10.11,10.11,8.46,-2.6,-1.41,0.75,-7.29,-14.58,7.05,-1.83,15.51,0.07,85.01,71.41,1.55,SA_Volcanics
76,-69.887,-43.67,3.0,283.0,-69.362,-43.512,0.071,734.0,-74.92,-43.16,8.8,-15.92,1.56,152.41,0.11,95.79,911.0,201.0,8.46,8.46,8.46,-2.41,-1.39,0.72,-7.28,-13.37,7.08,-1.68,15.01,0.04,84.65,65.75,1.55,SA_Volcanics
77,-69.358,-41.76600000000001,3.0,283.0,-68.833,-41.609,0.076,750.0,-74.63,-41.36,8.86,-14.4,1.6,154.58,0.16,94.19,911.0,201.0,10.28,10.28,8.58,-2.2,-1.45,0.69,-7.29,-11.93,7.13,-1.51,18.35,0.07,90.53,71.41,1.56,SA_Volcanics
78,-69.288,-42.262,3.0,283.0,-68.763,-42.105,0.077,748.0,-74.68,-41.7,8.85,-17.06,1.59,151.8,0.17,96.87,911.0,201.0,9.93,9.93,8.46,-2.6,-1.41,0.75,-7.29,-14.58,7.05,-1.83,15.51,0.07,85.01,71.41,1.55,SA_Volcanics
79,-68.955,-45.257,3.0,283.0,-68.434,-45.1,0.081,728.0,-75.02,-45.55,8.71,0.82,1.51,168.34,0.11,79.0,911.0,201.0,6.01,6.01,8.71,0.12,-1.48,0.3,-7.25,3.46,7.23,0.44,2.71,0.02,6.23,67.08,0.73,SA_Volcanics
80,-68.8,-40.3,3.0,283.0,-68.275,-40.143,0.08199999999999999,764.0,-74.46,-40.19,8.89,-8.64,1.63,160.73,0.18,88.39,911.0,201.0,11.45,11.45,8.79,-1.34,-1.54,0.54,-7.3,-6.23,7.25,-0.79,20.51,0.08,91.45,74.85,1.61,SA_Volcanics
81,-68.5,-39.8,3.0,283.0,-67.975,-39.643,0.087,771.0,-74.29,-38.77,8.92,-22.54,1.66,147.29,0.14,102.23,911.0,201.0,12.88,12.88,8.24,-3.42,-1.39,0.9,-7.3,-20.18,6.85,-2.52,23.29,0.06,93.9,78.99,1.63,SA_Volcanics
82,-70.5,-33.375,25.0,2901.0,-64.712,-33.186,0.032,835.0,-66.91,-32.92,8.55,-28.23,2.71,-172.79,0.2,95.4,902.0,201.0,23.17,23.17,7.53,-4.04,-2.69,-0.34,-6.54,-42.16,4.85,-4.39,55.52,0.13,5.77,126.58,2.28,SA_Volcanics
83,-70.66,-33.385,26.0,2901.0,-64.586,-33.249,0.03,808.0,-66.63,-32.97,9.67,-24.69,2.71,-172.64,0.2,95.34,902.0,201.0,22.8,22.8,8.79,-4.04,-2.68,-0.35,-7.52,-35.73,6.11,-4.39,56.02,0.15,5.46,127.16,2.29,SA_Volcanics
84,-70.66,-33.385,27.0,2901.0,-64.30199999999999,-33.301,0.03,890.0,-66.35,-33.03,11.07,-21.31,2.71,-172.49,0.2,95.28,902.0,201.0,22.48,22.48,10.31,-4.02,-2.68,-0.35,-8.8,-29.87,7.63,-4.38,53.35,0.17,5.57,124.04,2.24,SA_Volcanics
85,-70.66,-33.385,28.0,2901.0,-64.017,-33.353,0.03,862.0,-66.06,-33.08,11.05,-21.39,2.7,-172.34,0.2,95.23,902.0,201.0,21.09,21.09,10.29,-4.03,-2.68,-0.36,-8.79,-30.03,7.61,-4.4,52.37,0.17,11.55,122.85,2.24,SA_Volcanics
86,-69.999,-42.054,30.0,283.0,-62.598,-42.117,0.068,868.0,-67.81,-41.82,9.76,-24.84,2.6,-170.35,0.17,95.81,902.0,201.0,12.77,12.77,8.85,-4.1,-2.57,-0.44,-7.76,-35.83,6.29,-4.55,36.7,0.11,23.26,100.88,2.0,SA_Volcanics
87,-69.5,-42.5,30.0,283.0,-62.088,-42.556,0.075,866.0,-67.85,-42.16,9.7,-24.99,2.6,-170.31,0.17,95.84,902.0,201.0,12.42,12.42,8.79,-4.1,-2.56,-0.44,-7.72,-36.06,6.24,-4.55,36.7,0.11,22.1,100.88,2.0,SA_Volcanics
