conv_rate,dist_nearest_edge,subduction_volume_km3y,carbonate_sediment_thickness,ocean_crust_carb_percent
2.06,1.27,0.02,101.72,1.61
2.03,0.53,0.02,103.23,1.63
2.01,0.08,0.02,103.23,1.63
2.01,0.08,0.02,103.23,1.63
2.01,0.08,0.02,103.23,1.63
2.17,4.5,0.01,54.96,0.86
2.2,5.2,0.01,54.96,0.86
2.23,5.88,0.0,20.17,0.86
2.23,5.88,0.0,20.17,0.86
2.17,4.35,0.01,54.96,1.34
2.17,4.35,0.01,54.96,1.34
2.03,0.53,0.02,103.23,1.63
2.17,4.35,0.01,54.96,1.34
2.17,4.35,0.01,54.96,1.34
2.23,5.88,0.0,20.17,0.86
2.23,5.88,0.0,20.17,0.86
2.17,4.5,0.01,54.96,0.86
2.17,4.5,0.01,54.96,0.86
2.21,5.55,0.0,20.17,0.86
9.04,21.98,0.12,56.27,2.02
9.03,22.37,0.13,53.11,2.03
2.59,1.68,0.04,126.89,2.0
8.4,17.16,0.11,99.63,2.03
8.97,29.84,0.13,32.75,2.22
8.82,27.81,0.12,39.09,2.19
8.97,14.86,0.1,89.99,1.8
2.01,0.08,0.02,101.17,1.58
7.7,6.6,0.04,78.18,1.56
2.96,1.76,0.0,136.32,1.59
2.38,2.66,0.04,48.68,2.7
8.05,11.52,0.1,99.98,1.78
9.02,26.21,0.13,41.04,2.17
8.91,31.26,0.14,33.31,2.17
8.68,23.21,0.1,64.72,2.13
9.02,18.81,0.1,75.25,1.99
8.72,6.13,0.01,19.14,0.83
8.88,11.13,0.07,93.58,1.59
2.17,4.35,0.01,45.37,0.83
7.59,4.96,0.03,52.43,1.48
3.08,2.99,0.01,136.32,1.42
3.13,3.57,0.0,73.05,1.42
2.9,1.21,0.04,136.32,1.59
2.91,1.32,0.03,136.32,1.59
2.49,2.8,0.04,48.68,2.7
2.96,1.71,0.02,136.32,1.59
2.17,0.1,0.03,51.68,2.75
2.29,1.68,0.04,48.68,2.7
7.83,8.46,0.06,100.8,1.56
7.88,9.26,0.04,100.8,1.82
8.26,14.84,0.1,100.97,1.77
8.03,11.32,0.1,116.09,1.79
8.49,18.92,0.11,70.78,2.07
8.36,16.39,0.1,99.63,1.75
8.23,14.26,0.1,101.07,1.77
8.79,26.45,0.11,51.04,2.21
9.03,24.3,0.12,50.65,2.16
9.03,24.67,0.12,48.79,2.16
9.02,26.02,0.13,41.04,2.17
9.0,28.16,0.14,38.63,2.2
8.97,29.84,0.13,32.75,2.22
9.0,27.97,0.14,38.63,2.2
8.93,31.8,0.14,33.31,2.17
8.95,30.73,0.13,32.75,2.17
8.86,29.33,0.12,36.3,2.18
8.88,29.9,0.12,33.31,2.18
8.9,30.69,0.14,33.31,2.17
8.94,31.43,0.13,32.75,2.17
8.6,21.27,0.11,64.72,2.08
8.55,20.09,0.11,68.49,2.05
8.77,25.69,0.11,51.04,2.21
8.72,24.16,0.1,208.08,2.14
8.82,27.81,0.12,39.09,2.19
9.0,17.12,0.1,86.28,1.9
9.03,20.39,0.12,72.96,2.0
9.03,23.74,0.12,50.65,2.16
9.02,19.01,0.12,75.25,1.99
9.03,20.79,0.12,70.96,2.02
8.98,15.42,0.1,89.99,1.9
9.01,17.68,0.1,75.25,1.99
8.88,10.97,0.08,93.58,1.59
8.94,13.21,0.09,105.16,1.66
8.76,7.31,0.06,77.57,1.04
8.83,9.23,0.06,85.97,1.44
2.2,5.2,0.0,19.14,0.83
2.01,0.08,0.02,101.17,1.58
2.03,0.53,0.02,101.17,1.58
2.04,0.7,0.02,99.8,1.58
2.2,5.37,0.0,19.14,0.83
2.17,4.35,0.01,45.37,0.83
2.21,5.55,0.0,19.14,0.83
7.73,7.12,0.06,78.18,1.56
7.64,5.72,0.04,52.43,1.48
7.67,6.16,0.03,52.43,1.48
7.64,5.72,0.04,52.43,1.48
3.13,3.57,0.0,73.05,1.42
7.59,4.96,0.03,52.43,1.48
3.13,3.57,0.0,73.05,1.42
3.07,2.85,0.02,136.32,1.42
3.08,2.99,0.01,136.32,1.42
3.08,2.99,0.01,136.32,1.42
2.95,1.62,0.03,136.32,1.59
2.96,1.71,0.02,136.32,1.59
3.0,2.2,0.05,136.32,1.59
2.84,0.71,0.05,136.32,1.59
7.56,4.35,0.03,73.05,1.48
3.08,2.99,0.01,136.32,1.42
2.5,2.61,0.04,48.68,2.7
2.29,1.68,0.04,48.68,2.7
2.87,0.96,0.04,136.32,1.59
2.55,2.05,0.04,49.45,2.0
2.95,1.62,0.03,136.32,1.59
2.91,1.32,0.03,136.32,1.59
2.9,1.21,0.04,136.32,1.59
2.43,3.25,0.04,48.68,2.7
2.89,1.08,0.04,136.32,1.59
2.96,1.76,0.0,136.32,1.59
2.96,1.71,0.02,136.32,1.59
2.95,1.62,0.03,136.32,1.59
2.91,1.32,0.03,136.32,1.59
2.35,2.27,0.04,48.68,2.7
2.23,0.89,0.03,51.68,2.75
2.45,3.19,0.04,48.68,2.7
2.35,2.27,0.04,48.68,2.7
2.38,2.66,0.04,48.68,2.7
2.28,1.48,0.04,48.68,2.7
2.17,0.1,0.03,51.68,2.75
2.17,0.1,0.03,51.68,2.75
2.22,0.69,0.03,51.68,2.75
2.17,0.1,0.03,51.68,2.75
7.75,7.31,0.06,96.99,1.56
7.71,6.76,0.05,78.18,1.56
7.79,7.96,0.05,96.99,1.56
7.77,7.65,0.05,96.99,1.56
7.83,8.46,0.06,100.8,1.56
7.97,10.42,0.07,100.8,1.79
7.9,9.52,0.09,100.8,1.81
8.1,12.31,0.1,99.98,1.78
8.09,12.11,0.1,99.98,1.78
8.03,11.32,0.1,116.09,1.79
8.33,16.0,0.1,99.63,1.75
8.36,16.39,0.1,99.63,1.75
8.29,15.23,0.1,100.97,1.77
8.09,12.11,0.1,99.98,1.78
7.88,9.15,0.05,100.8,1.82
7.97,10.42,0.07,100.8,1.79
7.97,10.42,0.07,100.8,1.79
8.47,18.53,0.11,70.78,2.07
8.38,16.77,0.1,99.63,1.82
8.44,17.94,0.1,70.78,2.03
8.05,11.52,0.1,99.98,1.78
8.29,15.23,0.1,100.97,1.77
8.31,15.61,0.1,99.63,1.75
8.11,12.5,0.1,100.69,1.76
8.24,14.46,0.1,101.07,1.77
8.11,12.5,0.1,100.69,1.76
8.83,28.19,0.12,39.09,2.18
8.82,27.62,0.09,39.09,2.19
8.82,27.81,0.12,39.09,2.19
8.77,25.69,0.11,51.04,2.21
