conv_rate,dist_nearest_edge,subduction_volume_km3y,carbonate_sediment_thickness,ocean_crust_carb_percent
8.55,22.01,0.05,2.46,1.75
8.69,21.32,0.06,2.46,1.78
8.48,22.35,0.09,2.46,1.74
8.88,20.39,0.06,22.42,1.69
8.73,21.15,0.06,2.46,1.78
5.51,20.09,0.02,41.02,1.95
5.61,21.28,0.03,37.05,1.97
5.58,20.88,0.02,40.53,1.94
5.63,21.48,0.03,37.05,1.97
6.16,25.12,0.07,27.34,2.04
6.2,25.31,0.07,27.34,2.04
5.78,22.85,0.04,33.32,2.02
6.82,28.19,0.08,22.49,2.08
6.95,28.76,0.09,22.49,2.08
6.45,26.47,0.07,23.3,1.96
7.36,27.69,0.1,19.88,2.18
7.45,27.32,0.1,19.88,2.18
7.2,28.44,0.09,21.5,2.11
6.29,25.69,0.07,23.85,2.0
8.78,6.11,0.0,34.1,1.64
8.78,6.11,0.0,34.1,1.64
8.78,5.95,0.0,34.1,1.64
8.75,8.8,0.0,8.7,1.43
-8.78,6.62,0.0,34.1,1.63
4.19,11.02,0.02,49.24,1.76
4.3,11.58,0.02,48.72,1.76
4.06,10.31,0.02,49.24,1.68
4.83,14.14,0.03,45.28,1.84
4.87,14.33,0.03,45.28,1.84
4.79,13.94,0.04,45.28,1.84
4.33,11.75,0.01,48.72,1.8
-8.78,6.62,0.0,34.1,1.63
8.74,9.36,0.01,27.07,1.69
5.12,15.48,0.04,44.59,1.88
4.87,14.33,0.03,45.28,1.84
4.99,14.9,0.04,44.59,1.88
4.7,13.55,0.04,47.25,1.83
4.3,11.58,0.02,48.72,1.76
5.12,15.48,0.04,44.59,1.88
4.99,14.9,0.04,44.59,1.88
5.19,15.86,0.02,44.59,1.88
5.16,15.67,0.04,44.59,1.88
5.28,17.0,0.02,47.16,1.91
5.2,16.05,0.02,44.59,1.91
5.27,16.81,0.02,47.16,1.91
5.19,15.86,0.02,44.59,1.88
5.19,15.86,0.02,44.59,1.88
5.39,18.14,0.02,44.09,1.92
5.45,19.11,0.01,44.09,1.92
5.47,19.31,0.02,41.02,1.95
5.43,18.72,0.01,44.09,1.92
5.32,17.38,0.02,47.16,1.91
5.37,17.95,0.02,44.09,1.91
5.41,18.33,0.03,44.09,1.92
5.35,17.76,0.02,47.16,1.91
