age,lon,lat,plate_id,recon_lon,recon_lat,distance,sub_idx,trench_lon,trench_lat,conv_rate,conv_angle,trench_abs_rate,trench_abs_angle,arc_len,trench_norm,subducting_pid,trench_pid,dist_nearest_edge,dist_from_start,conv_ortho,conv_paral,trench_abs_ortho,trench_abs_paral,subducting_abs_rate,subducting_abs_angle,subducting_abs_ortho,subducting_abs_paral,seafloor_age,subduction_volume_km3y,carbonate_sediment_thickness,total_sediment_thick,ocean_crust_carb_percent
0.0,-68.55199999999999,-21.911,201.0,-68.55199999999999,-21.911,0.041,919.0,-71.07,-22.02,8.97,-17.42,1.95,157.56,0.18,94.79,911.0,201.0,30.2,30.2,8.56,-2.69,-1.8,0.74,-7.03,-15.97,6.76,-1.93,53.13,0.13,37.23,123.9,2.22
0.0,-68.54,-21.915,201.0,-68.54,-21.915,0.041,919.0,-71.07,-22.02,8.97,-17.42,1.95,157.56,0.18,94.79,911.0,201.0,30.2,30.2,8.56,-2.69,-1.8,0.74,-7.03,-15.97,6.76,-1.93,53.13,0.13,37.23,123.9,2.22
0.0,-68.524,-21.891,201.0,-68.524,-21.891,0.041,919.0,-71.07,-22.02,8.97,-17.42,1.95,157.56,0.18,94.79,911.0,201.0,30.2,30.2,8.56,-2.69,-1.8,0.74,-7.03,-15.97,6.76,-1.93,53.13,0.13,37.23,123.9,2.22
0.0,-68.523,-21.907,201.0,-68.523,-21.907,0.041,919.0,-71.07,-22.02,8.97,-17.42,1.95,157.56,0.18,94.79,911.0,201.0,30.2,30.2,8.56,-2.69,-1.8,0.74,-7.03,-15.97,6.76,-1.93,53.13,0.13,37.23,123.9,2.22
0.0,-68.517,-25.301,202.0,-68.517,-25.301,0.046,892.0,-71.38,-25.01,9.01,-18.24,1.91,156.11,0.2,95.82,911.0,201.0,27.19,27.19,8.56,-2.82,-1.75,0.77,-7.12,-16.66,6.82,-2.04,47.81,0.13,43.24,117.19,2.17
0.0,-68.51100000000001,-21.895,201.0,-68.51100000000001,-21.895,0.041,919.0,-71.07,-22.02,8.97,-17.42,1.95,157.56,0.18,94.79,911.0,201.0,30.2,30.2,8.56,-2.69,-1.8,0.74,-7.03,-15.97,6.76,-1.93,53.13,0.13,37.23,123.9,2.22
0.0,-68.508,-21.896,201.0,-68.508,-21.896,0.042,919.0,-71.07,-22.02,8.97,-17.42,1.95,157.56,0.18,94.79,911.0,201.0,30.2,30.2,8.56,-2.69,-1.8,0.74,-7.03,-15.97,6.76,-1.93,53.13,0.13,37.23,123.9,2.22
0.0,-68.50399999999999,-21.894,201.0,-68.50399999999999,-21.894,0.042,919.0,-71.07,-22.02,8.97,-17.42,1.95,157.56,0.18,94.79,911.0,201.0,30.2,30.2,8.56,-2.69,-1.8,0.74,-7.03,-15.97,6.76,-1.93,53.13,0.13,37.23,123.9,2.22
0.0,-68.497,-21.894,201.0,-68.497,-21.894,0.042,919.0,-71.07,-22.02,8.97,-17.42,1.95,157.56,0.18,94.79,911.0,201.0,30.2,30.2,8.56,-2.69,-1.8,0.74,-7.03,-15.97,6.76,-1.93,53.13,0.13,37.23,123.9,2.22
0.0,-68.485,-21.848000000000006,201.0,-68.485,-21.848000000000006,0.042,919.0,-71.07,-22.02,8.97,-17.42,1.95,157.56,0.18,94.79,911.0,201.0,30.2,30.2,8.56,-2.69,-1.8,0.74,-7.03,-15.97,6.76,-1.93,53.13,0.13,37.23,123.9,2.22
